timestamp_of_message,year,month,day_of_month,hour,minute,second,millisecond,day_of_week,day_of_year,week_of_year,is_weekend,seconds_since_midnight,time_of_day_bucket,device_identifier,vendor,physical_site_id,geolocation_code,device_role,device_function,device_model_number,device_importance,version_number,module_name,severity,log_type,log_status,cid,oid,sequence_number,description,device_with_description,metadata,is_unhappy
Sep 25 2024 12:44:35,2024,9,25,12,44,35,0,2,269,39,0,45875,Afternoon,GPN-0448-124-MAI-DED-AR22-02,GPN,0448,124,MAI,DED,AR22,02,01,INFO,4,SUPPRESS_LOG,(l),,,,Last message repeated 1 times.,GPN-0448-124-MAI-DED-AR22-02 -> Last message repeated 1 times.,"InfoID=3497857038, ModuleName=NTP, InfoAlias=PACKET_LENGTH_WRONG)",
Sep 25 2024 21:12:33,2024,9,25,21,12,33,0,2,269,39,0,76353,Night,GPN-1633-MAM-COM-SCH-AR22-01,GPN,1633,MAM,COM,SCH,AR22,01,01,INFO,4,SUPPRESS_LOG,(l),,,,Last message repeated 5 times.,GPN-1633-MAM-COM-SCH-AR22-01 -> Last message repeated 5 times.,"InfoID=4280094721, ModuleName=SECE, InfoAlias=ARPMISS)",
Sep 25 2024 12:44:39,2024,9,25,12,44,39,0,2,269,39,0,45879,Afternoon,GPN-0290-GEO-MUK-NUR-AR12-01,GPN,0290,GEO,MUK,NUR,AR12,01,01,FTPS,5,REQUEST,(l),,,,The user had a request. ,GPN-0290-GEO-MUK-NUR-AR12-01 -> The user had a request. ,"UserName="""", IpAddress=IP/IPV6: 172.31.252.204 , VpnInstanceName=""VPN: "", Request=QUIT",
Sep 25 2024 12:44:38,2024,9,25,12,44,38,0,2,269,39,0,45878,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:38,2024,9,25,12,44,38,0,2,269,39,0,45878,Afternoon,GPN-0231-BOI-EDU--AR12-01,GPN,0231,BOI,EDU,,AR12,01,01,SHELL,5,CMDRECORD,(l),,,,Record command information. ,GPN-0231-BOI-EDU--AR12-01 -> Record command information. ,"Task=Co0, Ip=**, User=**, Command=""log on fail"", Result=Success)",
Sep 25 2024 12:44:40,2024,9,25,12,44,40,0,2,269,39,0,45880,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:41,2024,9,25,12,44,41,0,2,269,39,0,45881,Afternoon,GPN-0282-IMB-CLI--AR12-01,GPN,0282,IMB,CLI,,AR12,01,01,SECE,6,ARPMISS,(l),,,,Attack occurred.,GPN-0282-IMB-CLI--AR12-01 -> Attack occurred.,"AttackType=Arp Miss Attack, SourceInterface=GigabitEthernet0/0/1, SourceIP=10.2.143.2, AttackPackets=6 packets per second",
Sep 25 2024 12:44:41,2024,9,25,12,44,41,0,2,269,39,0,45881,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:41,2024,9,25,12,44,41,0,2,269,39,0,45881,Afternoon,GPN-0159-LEN-CLI--AR12-01,GPN,0159,LEN,CLI,,AR12,01,01,SHELL,5,CMDRECORD,(l),,,,Record command information. ,GPN-0159-LEN-CLI--AR12-01 -> Record command information. ,"Task=Co0, Ip=**, User=**, Command=""log on fail"", Result=Success)",
Sep 25 2024 12:44:42,2024,9,25,12,44,42,0,2,269,39,0,45882,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:42,2024,9,25,12,44,42,0,2,269,39,0,45882,Afternoon,GPN-0200-BEN-ROA-TRA-AR12-01,GPN,0200,BEN,ROA,TRA,AR12,01,01,SHELL,5,CMDRECORD,(l),,,,Record command information. ,GPN-0200-BEN-ROA-TRA-AR12-01 -> Record command information. ,"Task=Co0, Ip=**, User=**, Command=""log on fail"", Result=Success)",
Sep 25 2024 12:44:44,2024,9,25,12,44,44,0,2,269,39,0,45884,Afternoon,GBN-0139-CHB-NUR-COL-AR12-01,GBN,0139,CHB,NUR,COL,AR12,01,01,FTPS,5,REQUEST,(l),,,,The user had a request. ,GBN-0139-CHB-NUR-COL-AR12-01 -> The user had a request. ,"UserName="""", IpAddress=IP/IPV6: 172.31.252.204 , VpnInstanceName=""VPN: "", Request=QUIT",
Sep 25 2024 12:44:44,2024,9,25,12,44,44,0,2,269,39,0,45884,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:44,2024,9,25,12,44,44,0,2,269,39,0,45884,Afternoon,GPN-0320-KT-MAT-CLI-AR12-01,GPN,0320,KT,MAT,CLI,AR12,01,01,LLDP,4,BAD_PACKET,(l),,,,2 invalid packets were received after latest notification. The last invalid packet came from interface GigabitEthernet0/0/1.,GPN-0320-KT-MAT-CLI-AR12-01 -> 2 invalid packets were received after latest notification. The last invalid packet came from interface GigabitEthernet0/0/1.,,
Sep 25 2024 12:44:44,2024,9,25,12,44,44,0,2,269,39,0,45884,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:44,2024,9,25,12,44,44,0,2,269,39,0,45884,Afternoon,,,,,,,,,,,,,,,,,,,,
Sep 25 2024 12:44:45,2024,9,25,12,44,45,0,2,269,39,0,45885,Afternoon,GPN-0168-MED-ORA-DEN-AR12-01,GPN,0168,MED,ORA,DEN,AR12,01,01,FTPS,5,REQUEST,(l),,,,The user had a request. ,GPN-0168-MED-ORA-DEN-AR12-01 -> The user had a request. ,"UserName="""", IpAddress=IP/IPV6: 172.31.252.204 , VpnInstanceName=""VPN: "", Request=QUIT",
Sep 25 2024 12:44:45,2024,9,25,12,44,45,0,2,269,39,0,45885,Afternoon,GPN-0273-MAR-RAN-CLI-AR12-01,GPN,0273,MAR,RAN,CLI,AR12,01,01,FTPS,5,REQUEST,(l),,,,The user had a request. ,GPN-0273-MAR-RAN-CLI-AR12-01 -> The user had a request. ,"UserName="""", IpAddress=IP/IPV6: 172.31.252.204 , VpnInstanceName=""VPN: "", Request=QUIT",
Sep 25 2024 12:44:46,2024,9,25,12,44,46,0,2,269,39,0,45886,Afternoon,GBN-0102-ODI-SUB-HOS-AR12-01,GBN,0102,ODI,SUB,HOS,AR12,01,01,FTPS,5,REQUEST,(l),,,,The user had a request. ,GBN-0102-ODI-SUB-HOS-AR12-01 -> The user had a request. ,"UserName="""", IpAddress=IP/IPV6: 172.31.252.204 , VpnInstanceName=""VPN: "", Request=QUIT",
Sep 25 2024 12:44:46,2024,9,25,12,44,46,0,2,269,39,0,45886,Afternoon,SCH-0618-KRU-HIG-SCH-AR22-01,SCH,0618,KRU,HIG,SCH,AR22,01,01,NTP,4,PACKET_LENGTH_WRONG,(l),,,,The received NTP packet is longer than or shorter than a valid packet. ,SCH-0618-KRU-HIG-SCH-AR22-01 -> The received NTP packet is longer than or shorter than a valid packet. ,RcvLen=192,
Sep 25 2024 12:44:46,2024,9,25,12,44,46,0,2,269,39,0,45886,Afternoon,GPN-0136-HEI-TRA--AR12-01,GPN,0136,HEI,TRA,,AR12,01,01,SECE,6,ARPMISS,(l),,,,Attack occurred.,GPN-0136-HEI-TRA--AR12-01 -> Attack occurred.,"AttackType=Arp Miss Attack, SourceInterface=GigabitEthernet0/0/1, SourceIP=10.20.4.240, AttackPackets=6 packets per second",
Sep 25 2024 12:48:32,2024,9,25,12,48,32,0,2,269,39,0,46112,Afternoon,,,,,,,,,,,,,,,,,,,,
